Title,DateAdded,PaperRank,Domain,Authors,Year,DOI,PrimaryURL,Access,AbstractMini,WhyRelevant,Owner
"Effects of repeated exposure to full portions of non-alcoholic beers at home over several weeks on sensory perception, satisfaction, wanting, and purchase intent",26/03/2026 12:10,,"[""Brewing & Process"", ""Neuroscience & Functional""]",Takahiro Wakihira; Michel Visalli; Pascal Schlich,2026,10.1016/j.foodqual.2025.105797,https://doi.org/10.1016/j.foodqual.2025.105797,"[""PAYWALL""]","Home-use testing of two non-alcoholic beers showed repeated exposure changed wanting and purchase intent differently by product, while non-users remained less satisfied than users after eight exposures.","Useful for NOLO product design: it links sensory profile to repeat adoption, clarifying what improves conversion of mainstream beer drinkers.",
Impact of different production methods on selected aroma compounds for non-alcoholic beers by developing an HS-SPME GC-MS method,26/03/2026 12:10,,"[""Brewing & Process"", ""Analytics & Digital""]",Sönke Kienitz; Hubert Kollmannsberger; Annsophie Schreff; Dennis Mayer; Christoph Neugrodda; Thomas Becker,2026,10.1016/j.foodchem.2026.147924,https://doi.org/10.1016/j.foodchem.2026.147924,"[""OPEN""]","Compares limited fermentation, special yeast, thermal dealcoholization and reverse osmosis for non-alcoholic beer using a calibrated HS-SPME GC-MS method for 50 aroma compounds plus sensory validation.","Directly actionable for NOLO process decisions because it ties production route to aroma retention, off-notes and measurable analytical methods.",
Toward a digital twin for beer quality control: development of a digital model integrating industrial process data and model-based fermentation descriptors,26/03/2026 12:10,,"[""Analytics & Digital"", ""Brewing & Process""]",Colomba Dazzarola; Ronald Tighe; José R. Pérez-Correa; Pedro A. Saa,2026,10.1016/j.jfoodeng.2025.112726,https://doi.org/10.1016/j.jfoodeng.2025.112726,"[""PAYWALL""]",A hybrid model calibrates beer fermentation kinetics from industrial data and combines them with classifiers and regression models to predict quality attributes before product completion.,Strong fit for brewery digitalization: it shows how process data and mechanistic descriptors can support earlier quality prediction and corrective action.,
Automated monitoring of alcoholic fermentation: trends and challenges,26/03/2026 12:10,,"[""Analytics & Digital"", ""Biotech applied""]",Tomáš Horváth; Szilárd Kun; László Sipos; Duc Trung Pham,2026,10.1007/s13197-025-06528-0,https://doi.org/10.1007/s13197-025-06528-0,"[""OPEN""]","Review of automated fermentation monitoring with e-nose, e-tongue and other sensors. It argues current studies are fragmented, lack shared datasets and often apply ML below robust data-science standards.","Relevant for scaling smart fermentation because it identifies sensor gaps, data quality issues and the need for industrial-grade monitoring architectures.",
Brewery Byproducts as Bioenergy Sources: A Review of Biohydrogen and Biomethane Production,26/03/2026 12:10,,"[""Byproducts & Circularity"", ""Water & Environment""]",Larissa Oliveira da Silva; Fabrícia Maria Santana Silva; João Paulo Bassin,2026,10.1007/s12649-026-03515-0,https://doi.org/10.1007/s12649-026-03515-0,"[""OPEN""]","Review of hydrogen and methane production from brewery spent grain, spent yeast, hot trub and brewery wastewater, with reported yield ranges and process constraints such as recalcitrance and inhibitors.",Useful for circularity strategy because it quantifies viable valorization pathways for brewery residues and links them to on-site energy recovery.,
Functional Valorization and Bioactivity Enhancement of Spent Coffee Grounds Through Lactic Acid Fermentation,26/03/2026 12:10,,"[""Byproducts & Circularity"", ""Biotech applied""]",Mihye Park; Kwang-ok Kim,2026,10.3390/fermentation12020096,https://doi.org/10.3390/fermentation12020096,"[""OPEN""]",Lactic fermentation of spent coffee grounds with Lactobacillus plantarum increased viable counts and improved antioxidant and anti-inflammatory activity alongside phenolic remodeling.,Shows a realistic upcycling route for beverage-side residues into higher-value functional ingredients using a fermentation process that is industrially familiar.,
"Exploiting brewery wastewater for the sustainable cultivation of Chlorella fusca: Biomass productivity, biochemical composition, and production cost",26/03/2026 12:10,,"[""Water & Environment"", ""Byproducts & Circularity"", ""Biotech applied""]",Jenyfer de Almeida Conceição; Michele Greque de Morais; Etiele Greque de Morais; Jorge Alberto Vieira Costa,2026,10.1007/s10811-026-03796-x,https://doi.org/10.1007/s10811-026-03796-x,"[""OPEN""]","Cultivating Chlorella fusca in brewery effluent enabled biomass production with balanced protein, carbohydrate and lipid composition while reducing estimated production cost from over 84 to about 18 EUR/kg.","Directly relevant to brewery effluent valorization because it couples wastewater treatment, biomass generation and cost reduction in one system.",
A critical review of biodegradable polymers for food packaging: Enhancing functionality and environmental sustainability,26/03/2026 12:10,,"[""Materials & Packaging""]",Ros Azlinawati Ramli,2026,10.1016/j.foodres.2026.118497,https://doi.org/10.1016/j.foodres.2026.118497,"[""PAYWALL""]","Review of biodegradable food-packaging polymers covering material families, fabrication routes, barrier and antimicrobial functionality, intelligent sensing features and life-cycle considerations.",Relevant for packaging scouting because it maps which biodegradable systems are closing the performance gap with petro-plastics and where trade-offs remain.,
"Smart Packaging 4.0: A Bibliometric Analysis of Sensor Integration, Food Safety, and Sustainability in Food Packaging Systems",26/03/2026 12:10,,"[""Materials & Packaging"", ""Analytics & Digital""]",Mochammad Jusuf Djafar; Huda M Elmatsani; S Joni Munarso; Jonni Firdaus; Sudarwaji Edi Yuwono Trihadi; Wahyu Purwanta; Budi Setiadi Sadikin; Sahlan Sahlan; Nasruddin Nasruddin; Lanjar Lanjar,2026,10.1155/tswj/3181510,https://doi.org/10.1155/tswj/3181510,"[""OPEN""]","Bibliometric analysis of 253 documents shows smart packaging moving toward cyber-physical systems combining sensors, bioactive materials, IoT, AI and blockchain for traceability and food management.",Useful for packaging roadmap work because it surfaces converging technologies and commercialization barriers in intelligent packaging.,
New frontiers in beverage fortification: Delivery of functional ingredients via micro- and nanoencapsulation in dairy and non-dairy beverages,26/03/2026 12:10,,"[""Neuroscience & Functional"", ""Biotech applied""]",Mohammad Rezaul Islam Shishir; Suliman Khan; Naymul Karim; Muhammad Bilal; Sarfaraz Hussain; Md Saifullah; Ahmed K Rashwan; Haroon Elrasheid Tahir; Isam A Mohamed Ahmed; Xinhua Zhang; Fujun Li,2026,10.1016/j.foodres.2026.118607,https://doi.org/10.1016/j.foodres.2026.118607,"[""PAYWALL""]","Review of micro- and nanoencapsulation systems for fortified beverages, showing better stability, bioaccessibility, probiotic survivability and flavor masking, with unresolved scale-up and regulatory issues.",Relevant for functional beverage innovation because it clarifies practical delivery systems for bioactives and the barriers to commercial translation.,
Exploring Origanum dictamnus as a functional food ingredient: Phytochemical characterization and gut motility modulation,26/03/2026 12:10,,"[""Neuroscience & Functional""]",Charikleia Paloukopoulou; Theofano Psarra; Maria Koutsoviti-Papadopoulou; Anastasia Karioti,2026,10.1016/j.foodchem.2026.148243,https://doi.org/10.1016/j.foodchem.2026.148243,"[""PAYWALL""]","An herbal beverage infusion was profiled by NMR and HPLC-PDA-MS and showed spasmolytic activity in ex vivo gut tissues, supporting digestive functional-food positioning.",Useful as a signal for gut-comfort beverages because it combines phytochemical evidence with a physiological activity model rather than a purely marketing claim.,
